Running script with arguments: Namespace(input_channels=1, input_size=[16, 16], modality='chm', num_classes=2, test_folder=['/mmfs1/gscratch/stf/upanpra/AK_paper_data/16crops/forest_vs_nonforest/chm/test'], train_folder=['/mmfs1/gscratch/stf/upanpra/AK_paper_data/16crops/forest_vs_nonforest/chm/train'])
tensor([2.2561])
tensor([1.7738])
Saving model to: /mmfs1/gscratch/stf/upanpra/model_checkpointsAK/best-test-model-VisDroughtCNN-1700318237.23149.pt
DroughtCNN(
  (conv1): Conv2d(1, 32, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
  (bn1): BatchNorm2d(32, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (conv2): Conv2d(32, 64, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
  (bn2): BatchNorm2d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (conv3): Conv2d(64, 128, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
  (bn3): BatchNorm2d(128, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (fc1): Linear(in_features=512, out_features=120, bias=True)
  (fc2): Linear(in_features=120, out_features=84, bias=True)
  (fc3): Linear(in_features=84, out_features=4, bias=True)
)
28338637.28762871
Epoch [1/100], Step [100/178], Loss: 0.2436
Epoch [1/100], Train Acc 90.70%, Test Acc 86.07%
Epoch [2/100], Step [100/178], Loss: 0.1888
Epoch [2/100], Train Acc 90.63%, Test Acc 85.24%
Epoch [3/100], Step [100/178], Loss: 0.1017
Epoch [3/100], Train Acc 90.70%, Test Acc 87.47%
Epoch [4/100], Step [100/178], Loss: 0.1515
Epoch [4/100], Train Acc 90.38%, Test Acc 85.24%
Epoch [5/100], Step [100/178], Loss: 0.3024
Epoch [5/100], Train Acc 90.88%, Test Acc 85.93%
Epoch [6/100], Step [100/178], Loss: 0.1689
Epoch [6/100], Train Acc 91.93%, Test Acc 87.60%
Epoch [7/100], Step [100/178], Loss: 0.0836
Epoch [7/100], Train Acc 91.76%, Test Acc 88.30%
Epoch [8/100], Step [100/178], Loss: 0.6008
Epoch [8/100], Train Acc 91.72%, Test Acc 88.02%
Epoch [9/100], Step [100/178], Loss: 0.0811
Epoch [9/100], Train Acc 92.15%, Test Acc 88.30%
Epoch [10/100], Step [100/178], Loss: 0.3658
Epoch [10/100], Train Acc 92.11%, Test Acc 88.30%
Epoch [11/100], Step [100/178], Loss: 0.0864
Epoch [11/100], Train Acc 92.29%, Test Acc 87.60%
Epoch [12/100], Step [100/178], Loss: 0.1053
Epoch [12/100], Train Acc 90.31%, Test Acc 86.07%
Epoch [13/100], Step [100/178], Loss: 0.1632
Epoch [13/100], Train Acc 92.43%, Test Acc 87.33%
Epoch [14/100], Step [100/178], Loss: 0.1296
Epoch [14/100], Train Acc 92.22%, Test Acc 86.49%
Epoch [15/100], Step [100/178], Loss: 0.0762
Epoch [15/100], Train Acc 92.32%, Test Acc 87.05%
Epoch [16/100], Step [100/178], Loss: 0.3051
Epoch [16/100], Train Acc 92.46%, Test Acc 86.77%
Epoch [17/100], Step [100/178], Loss: 0.6206
Epoch [17/100], Train Acc 92.04%, Test Acc 85.65%
Epoch [18/100], Step [100/178], Loss: 0.3146
Epoch [18/100], Train Acc 93.03%, Test Acc 89.42%
Epoch [19/100], Step [100/178], Loss: 0.2901
Epoch [19/100], Train Acc 92.46%, Test Acc 85.79%
Epoch [20/100], Step [100/178], Loss: 0.0546
Epoch [20/100], Train Acc 92.64%, Test Acc 87.47%
Epoch [21/100], Step [100/178], Loss: 0.1264
Epoch [21/100], Train Acc 93.48%, Test Acc 88.30%
Epoch [22/100], Step [100/178], Loss: 0.0491
Epoch [22/100], Train Acc 93.20%, Test Acc 86.77%
Epoch [23/100], Step [100/178], Loss: 0.0390
Epoch [23/100], Train Acc 92.74%, Test Acc 89.14%
Epoch [24/100], Step [100/178], Loss: 0.1217
Epoch [24/100], Train Acc 93.27%, Test Acc 88.30%
Epoch [25/100], Step [100/178], Loss: 0.4660
Epoch [25/100], Train Acc 94.58%, Test Acc 88.86%
Epoch [26/100], Step [100/178], Loss: 0.1343
Epoch [26/100], Train Acc 93.20%, Test Acc 89.42%
Epoch [27/100], Step [100/178], Loss: 0.4693
Epoch [27/100], Train Acc 94.58%, Test Acc 87.60%
Epoch [28/100], Step [100/178], Loss: 0.0447
Epoch [28/100], Train Acc 93.94%, Test Acc 86.77%
Epoch [29/100], Step [100/178], Loss: 0.0359
Epoch [29/100], Train Acc 94.40%, Test Acc 87.60%
Epoch [30/100], Step [100/178], Loss: 0.4791
Epoch [30/100], Train Acc 94.36%, Test Acc 86.07%
Epoch [31/100], Step [100/178], Loss: 0.0366
Epoch [31/100], Train Acc 95.67%, Test Acc 87.47%
Epoch [32/100], Step [100/178], Loss: 0.0631
Epoch [32/100], Train Acc 96.23%, Test Acc 87.74%
Epoch [33/100], Step [100/178], Loss: 0.1717
Epoch [33/100], Train Acc 96.30%, Test Acc 87.33%
Epoch [34/100], Step [100/178], Loss: 0.0596
Epoch [34/100], Train Acc 95.70%, Test Acc 88.58%
Epoch [35/100], Step [100/178], Loss: 0.0610
Epoch [35/100], Train Acc 95.63%, Test Acc 87.74%
Epoch [36/100], Step [100/178], Loss: 0.2097
Epoch [36/100], Train Acc 96.34%, Test Acc 87.60%
Epoch [37/100], Step [100/178], Loss: 0.2241
Epoch [37/100], Train Acc 96.23%, Test Acc 86.63%
Epoch [38/100], Step [100/178], Loss: 0.0441
Epoch [38/100], Train Acc 96.87%, Test Acc 88.16%
Epoch [39/100], Step [100/178], Loss: 0.0854
Epoch [39/100], Train Acc 96.65%, Test Acc 87.60%
Epoch [40/100], Step [100/178], Loss: 0.4640
Epoch [40/100], Train Acc 96.83%, Test Acc 87.60%
Epoch [41/100], Step [100/178], Loss: 0.0242
Epoch [41/100], Train Acc 96.27%, Test Acc 88.58%
Epoch [42/100], Step [100/178], Loss: 0.0619
Epoch [42/100], Train Acc 97.18%, Test Acc 86.77%
Epoch [43/100], Step [100/178], Loss: 0.0129
Epoch [43/100], Train Acc 97.57%, Test Acc 87.60%
Epoch [44/100], Step [100/178], Loss: 0.1743
Epoch [44/100], Train Acc 96.87%, Test Acc 86.49%
Epoch [45/100], Step [100/178], Loss: 0.3002
Epoch [45/100], Train Acc 97.39%, Test Acc 88.30%
Epoch [46/100], Step [100/178], Loss: 0.1285
Epoch [46/100], Train Acc 97.60%, Test Acc 88.16%
Epoch [47/100], Step [100/178], Loss: 0.1164
Epoch [47/100], Train Acc 97.29%, Test Acc 88.16%
Epoch [48/100], Step [100/178], Loss: 0.1501
Epoch [48/100], Train Acc 96.90%, Test Acc 88.30%
Epoch [49/100], Step [100/178], Loss: 0.0295
Epoch [49/100], Train Acc 97.75%, Test Acc 87.74%
Epoch [50/100], Step [100/178], Loss: 0.3117
Epoch [50/100], Train Acc 97.68%, Test Acc 88.30%
Epoch [51/100], Step [100/178], Loss: 0.2099
Epoch [51/100], Train Acc 97.36%, Test Acc 87.60%
Epoch [52/100], Step [100/178], Loss: 0.1855
Epoch [52/100], Train Acc 97.22%, Test Acc 88.30%
Epoch [53/100], Step [100/178], Loss: 0.1652
Epoch [53/100], Train Acc 97.64%, Test Acc 87.74%
Epoch [54/100], Step [100/178], Loss: 0.0169
Epoch [54/100], Train Acc 97.85%, Test Acc 88.30%
Epoch [55/100], Step [100/178], Loss: 0.2701
Epoch [55/100], Train Acc 97.71%, Test Acc 87.19%
Epoch [56/100], Step [100/178], Loss: 0.0178
Epoch [56/100], Train Acc 97.36%, Test Acc 87.33%
Epoch [57/100], Step [100/178], Loss: 0.0148
Epoch [57/100], Train Acc 97.53%, Test Acc 87.19%
Epoch [58/100], Step [100/178], Loss: 0.0142
Epoch [58/100], Train Acc 97.82%, Test Acc 87.74%
Epoch [59/100], Step [100/178], Loss: 0.1281
Epoch [59/100], Train Acc 97.46%, Test Acc 86.63%
Epoch [60/100], Step [100/178], Loss: 0.0474
Epoch [60/100], Train Acc 98.13%, Test Acc 87.60%
Epoch [61/100], Step [100/178], Loss: 0.1178
Epoch [61/100], Train Acc 97.99%, Test Acc 87.05%
Epoch [62/100], Step [100/178], Loss: 0.0200
Epoch [62/100], Train Acc 98.06%, Test Acc 88.16%
Epoch [63/100], Step [100/178], Loss: 0.1587
Epoch [63/100], Train Acc 98.31%, Test Acc 88.44%
Epoch [64/100], Step [100/178], Loss: 0.0123
Epoch [64/100], Train Acc 98.24%, Test Acc 87.60%
Epoch [65/100], Step [100/178], Loss: 0.0276
Epoch [65/100], Train Acc 98.03%, Test Acc 88.02%
Epoch [66/100], Step [100/178], Loss: 0.1301
Epoch [66/100], Train Acc 98.31%, Test Acc 88.02%
Epoch [67/100], Step [100/178], Loss: 0.0091
Epoch [67/100], Train Acc 98.20%, Test Acc 87.19%
Epoch [68/100], Step [100/178], Loss: 0.0552
Epoch [68/100], Train Acc 98.45%, Test Acc 88.30%
Epoch [69/100], Step [100/178], Loss: 0.0068
Epoch [69/100], Train Acc 98.31%, Test Acc 87.47%
Epoch [70/100], Step [100/178], Loss: 0.0065
Epoch [70/100], Train Acc 98.27%, Test Acc 87.33%
Epoch [71/100], Step [100/178], Loss: 0.1301
Epoch [71/100], Train Acc 98.41%, Test Acc 88.02%
Epoch [72/100], Step [100/178], Loss: 0.0690
Epoch [72/100], Train Acc 98.56%, Test Acc 88.58%
Epoch [73/100], Step [100/178], Loss: 0.0018
Epoch [73/100], Train Acc 98.45%, Test Acc 87.60%
Epoch [74/100], Step [100/178], Loss: 0.0146
Epoch [74/100], Train Acc 98.52%, Test Acc 87.88%
Epoch [75/100], Step [100/178], Loss: 0.0031
Epoch [75/100], Train Acc 98.45%, Test Acc 87.33%
Epoch [76/100], Step [100/178], Loss: 0.0114
Epoch [76/100], Train Acc 98.66%, Test Acc 87.47%
Epoch [77/100], Step [100/178], Loss: 0.0008
