Running script with arguments: Namespace(input_channels=46, input_size=[16, 16], modality='hyper', num_classes=2, test_folder=['/mmfs1/gscratch/stf/upanpra/AK_paper_data/16crops/forest_vs_nonforest/vis/test', '/mmfs1/gscratch/stf/upanpra/AK_paper_data/16crops/forest_vs_nonforest/chm/test', '/mmfs1/gscratch/stf/upanpra/AK_paper_data/16crops/forest_vs_nonforest/dtm/test'], train_folder=['/mmfs1/gscratch/stf/upanpra/AK_paper_data/16crops/forest_vs_nonforest/vis/train', '/mmfs1/gscratch/stf/upanpra/AK_paper_data/16crops/forest_vs_nonforest/chm/train', '/mmfs1/gscratch/stf/upanpra/AK_paper_data/16crops/forest_vs_nonforest/dtm/train'])
tensor([ 1.2562e-03,  1.3985e+00,  1.6028e-01,  2.4955e-03,  3.7494e-03,
         2.8645e-01,  2.5099e-01,  1.1617e-02,  5.8831e+07,  3.3747e-01,
         1.0219e+00,  1.0250e+03,  9.9808e+02,  9.9124e+02,  4.0320e+00,
         2.8061e+00,  1.4833e+00,  6.4246e-01,  1.7446e+00,  1.6011e+03,
         7.6933e-01,  3.2335e-01,  2.9283e+00,  4.8720e+00,  1.6011e+03,
         7.6933e-01,  6.7750e-01, -2.4416e-02,  1.6377e-01,  6.7740e-01,
        -6.2431e-02,  1.1953e+00,  6.5289e-01,  4.6614e-02,  6.9420e+00,
         6.5594e-01,  3.7715e-01,  7.0039e+02,  9.0422e-01,  7.1502e-01,
         1.0462e+00,  6.0931e+04,  9.8067e-01,  1.4292e+00,  2.2561e+00,
         5.7587e+02])
tensor([4.4759e-04, 4.1323e-01, 7.3622e-02, 1.5093e-03, 1.7797e-03, 4.4453e-02,
        4.2317e-02, 2.6169e-03, 2.6416e+07, 2.3929e-01, 2.5570e-01, 2.0371e+02,
        1.9807e+02, 2.0060e+02, 5.4898e-01, 3.3441e-01, 1.8229e-01, 7.9600e-02,
        4.5119e-01, 3.2198e+02, 4.8647e-02, 3.7990e-02, 5.6839e-01, 9.8143e-01,
        3.2198e+02, 4.8648e-02, 5.0190e-02, 3.6721e-02, 6.9817e-02, 5.0186e-02,
        1.5194e-02, 1.0199e-01, 4.9361e-02, 2.0211e-02, 1.3854e+00, 1.7766e-01,
        3.9823e-02, 9.6311e+00, 5.9993e-02, 9.6525e-02, 3.0351e-01, 1.2431e+04,
        2.1788e-01, 7.1990e-02, 1.7738e+00, 2.0725e+00])
Saving model to: /mmfs1/gscratch/stf/upanpra/model_checkpointsAK/best-test-model-VisDroughtCNN-1700711110.7943258.pt
shape of mean, torch.Size([46])
shape of std, torch.Size([46])
DroughtCNN(
  (conv1): Conv2d(46, 32, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
  (bn1): BatchNorm2d(32, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (conv2): Conv2d(32, 64, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
  (bn2): BatchNorm2d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (conv3): Conv2d(64, 128, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
  (bn3): BatchNorm2d(128, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (fc1): Linear(in_features=512, out_features=120, bias=True)
  (fc2): Linear(in_features=120, out_features=84, bias=True)
  (fc3): Linear(in_features=84, out_features=4, bias=True)
)
28345185.1805714
Epoch [1/100], Step [100/178], Loss: 0.5453
Epoch [1/100], Train Acc 86.44%, Test Acc 84.68%
Epoch [2/100], Step [100/178], Loss: 0.4101
Epoch [2/100], Train Acc 87.00%, Test Acc 83.84%
Epoch [3/100], Step [100/178], Loss: 0.3416
Epoch [3/100], Train Acc 87.21%, Test Acc 83.01%
Epoch [4/100], Step [100/178], Loss: 0.3458
Epoch [4/100], Train Acc 88.16%, Test Acc 87.33%
Epoch [5/100], Step [100/178], Loss: 0.2354
Epoch [5/100], Train Acc 88.52%, Test Acc 86.77%
Epoch [6/100], Step [100/178], Loss: 0.3185
Epoch [6/100], Train Acc 87.21%, Test Acc 84.26%
Epoch [7/100], Step [100/178], Loss: 0.1321
Epoch [7/100], Train Acc 88.34%, Test Acc 84.54%
Epoch [8/100], Step [100/178], Loss: 0.5388
Epoch [8/100], Train Acc 88.20%, Test Acc 84.26%
Epoch [9/100], Step [100/178], Loss: 0.2272
Epoch [9/100], Train Acc 87.35%, Test Acc 82.45%
Epoch [10/100], Step [100/178], Loss: 0.2914
Epoch [10/100], Train Acc 89.12%, Test Acc 83.98%
Epoch [11/100], Step [100/178], Loss: 0.2078
Epoch [11/100], Train Acc 87.21%, Test Acc 85.24%
Epoch [12/100], Step [100/178], Loss: 0.1392
Epoch [12/100], Train Acc 86.79%, Test Acc 83.15%
Epoch [13/100], Step [100/178], Loss: 0.3850
Epoch [13/100], Train Acc 87.88%, Test Acc 84.96%
Epoch [14/100], Step [100/178], Loss: 0.3050
Epoch [14/100], Train Acc 89.29%, Test Acc 85.52%
Epoch [15/100], Step [100/178], Loss: 0.0863
Epoch [15/100], Train Acc 90.00%, Test Acc 85.52%
Epoch [16/100], Step [100/178], Loss: 0.9522
Epoch [16/100], Train Acc 89.61%, Test Acc 86.49%
Epoch [17/100], Step [100/178], Loss: 0.3010
Epoch [17/100], Train Acc 90.00%, Test Acc 86.21%
Epoch [18/100], Step [100/178], Loss: 0.4835
Epoch [18/100], Train Acc 86.05%, Test Acc 82.45%
Epoch [19/100], Step [100/178], Loss: 0.2361
Epoch [19/100], Train Acc 90.81%, Test Acc 85.38%
Epoch [20/100], Step [100/178], Loss: 0.2148
Epoch [20/100], Train Acc 89.12%, Test Acc 84.82%
Epoch [21/100], Step [100/178], Loss: 0.2672
Epoch [21/100], Train Acc 88.02%, Test Acc 82.31%
Epoch [22/100], Step [100/178], Loss: 0.1042
Epoch [22/100], Train Acc 90.98%, Test Acc 86.49%
Epoch [23/100], Step [100/178], Loss: 0.1602
Epoch [23/100], Train Acc 89.96%, Test Acc 87.19%
Epoch [24/100], Step [100/178], Loss: 0.1763
Epoch [24/100], Train Acc 90.84%, Test Acc 85.79%
Epoch [25/100], Step [100/178], Loss: 0.3192
Epoch [25/100], Train Acc 91.41%, Test Acc 85.24%
Epoch [26/100], Step [100/178], Loss: 0.2401
Epoch [26/100], Train Acc 89.61%, Test Acc 85.65%
Epoch [27/100], Step [100/178], Loss: 0.5513
Epoch [27/100], Train Acc 90.07%, Test Acc 83.57%
Epoch [28/100], Step [100/178], Loss: 0.1832
Epoch [28/100], Train Acc 89.50%, Test Acc 85.65%
Epoch [29/100], Step [100/178], Loss: 0.4119
Epoch [29/100], Train Acc 88.27%, Test Acc 83.01%
Epoch [30/100], Step [100/178], Loss: 0.2057
Epoch [30/100], Train Acc 92.04%, Test Acc 85.38%
Epoch [31/100], Step [100/178], Loss: 0.2482
Epoch [31/100], Train Acc 89.33%, Test Acc 82.73%
Epoch [32/100], Step [100/178], Loss: 0.1263
Epoch [32/100], Train Acc 90.98%, Test Acc 85.52%
Epoch [33/100], Step [100/178], Loss: 0.5741
Epoch [33/100], Train Acc 91.37%, Test Acc 84.68%
Epoch [34/100], Step [100/178], Loss: 0.3154
Epoch [34/100], Train Acc 92.15%, Test Acc 86.77%
Epoch [35/100], Step [100/178], Loss: 0.1881
Epoch [35/100], Train Acc 92.60%, Test Acc 87.74%
Epoch [36/100], Step [100/178], Loss: 0.1426
Epoch [36/100], Train Acc 91.83%, Test Acc 87.74%
Epoch [37/100], Step [100/178], Loss: 0.1401
Epoch [37/100], Train Acc 92.60%, Test Acc 87.74%
Epoch [38/100], Step [100/178], Loss: 0.0797
Epoch [38/100], Train Acc 92.92%, Test Acc 85.93%
Epoch [39/100], Step [100/178], Loss: 0.2093
Epoch [39/100], Train Acc 93.03%, Test Acc 85.79%
Epoch [40/100], Step [100/178], Loss: 0.2390
Epoch [40/100], Train Acc 92.96%, Test Acc 87.47%
Epoch [41/100], Step [100/178], Loss: 0.2836
Epoch [41/100], Train Acc 93.03%, Test Acc 86.63%
Epoch [42/100], Step [100/178], Loss: 0.0599
Epoch [42/100], Train Acc 93.31%, Test Acc 87.60%
Epoch [43/100], Step [100/178], Loss: 0.3488
Epoch [43/100], Train Acc 93.41%, Test Acc 85.79%
Epoch [44/100], Step [100/178], Loss: 0.1195
Epoch [44/100], Train Acc 93.55%, Test Acc 86.21%
Epoch [45/100], Step [100/178], Loss: 0.1891
Epoch [45/100], Train Acc 92.85%, Test Acc 87.05%
Epoch [46/100], Step [100/178], Loss: 0.1380
Epoch [46/100], Train Acc 92.99%, Test Acc 85.93%
Epoch [47/100], Step [100/178], Loss: 0.2117
Epoch [47/100], Train Acc 93.03%, Test Acc 85.24%
Epoch [48/100], Step [100/178], Loss: 0.0915
Epoch [48/100], Train Acc 93.31%, Test Acc 86.49%
Epoch [49/100], Step [100/178], Loss: 0.2543
Epoch [49/100], Train Acc 93.66%, Test Acc 85.24%
Epoch [50/100], Step [100/178], Loss: 0.0499
Epoch [50/100], Train Acc 93.45%, Test Acc 86.07%
Epoch [51/100], Step [100/178], Loss: 0.0780
Epoch [51/100], Train Acc 94.05%, Test Acc 86.91%
Epoch [52/100], Step [100/178], Loss: 0.1695
Epoch [52/100], Train Acc 93.66%, Test Acc 85.38%
Epoch [53/100], Step [100/178], Loss: 0.0809
Epoch [53/100], Train Acc 94.22%, Test Acc 87.33%
Epoch [54/100], Step [100/178], Loss: 0.1522
Epoch [54/100], Train Acc 94.72%, Test Acc 85.79%
Epoch [55/100], Step [100/178], Loss: 0.1242
Epoch [55/100], Train Acc 94.75%, Test Acc 86.07%
Epoch [56/100], Step [100/178], Loss: 0.0110
Epoch [56/100], Train Acc 94.22%, Test Acc 85.65%
Epoch [57/100], Step [100/178], Loss: 0.0478
Epoch [57/100], Train Acc 95.24%, Test Acc 84.96%
Epoch [58/100], Step [100/178], Loss: 0.6461
Epoch [58/100], Train Acc 94.51%, Test Acc 84.96%
