Running script with arguments: Namespace(input_channels=45, input_size=[16, 16], modality='hyper', num_classes=3, test_folder=['/mmfs1/gscratch/stf/upanpra/AK_paper_data/16crops/hardwood_vs_softwood/vis/test', '/mmfs1/gscratch/stf/upanpra/AK_paper_data/16crops/hardwood_vs_softwood/chm/test'], train_folder=['/mmfs1/gscratch/stf/upanpra/AK_paper_data/16crops/hardwood_vs_softwood/vis/train', '/mmfs1/gscratch/stf/upanpra/AK_paper_data/16crops/hardwood_vs_softwood/chm/train'])
tensor([ 1.2413e-03,  1.3992e+00,  1.5666e-01,  2.4665e-03,  3.7055e-03,
         2.8208e-01,  2.4620e-01,  1.1281e-02,  5.7995e+07,  3.3269e-01,
         1.0076e+00,  1.0347e+03,  1.0074e+03,  1.0008e+03,  4.0351e+00,
         2.8078e+00,  1.4801e+00,  6.4264e-01,  1.7263e+00,  1.6173e+03,
         7.6670e-01,  3.2386e-01,  2.9248e+00,  4.8894e+00,  1.6173e+03,
         7.6670e-01,  6.7660e-01, -2.4590e-02,  1.6352e-01,  6.7651e-01,
        -6.2282e-02,  1.1902e+00,  6.5222e-01,  4.6292e-02,  6.9664e+00,
         6.5256e-01,  3.7723e-01,  6.9674e+02,  8.9830e-01,  7.0955e-01,
         1.0268e+00,  6.1569e+04,  9.7964e-01,  1.4239e+00,  2.2436e+00])
tensor([4.2835e-04, 4.0767e-01, 6.8023e-02, 1.5014e-03, 1.7588e-03, 4.3323e-02,
        4.0901e-02, 2.5345e-03, 2.5077e+07, 2.5095e-01, 2.5432e-01, 2.0523e+02,
        1.9951e+02, 2.0219e+02, 5.4792e-01, 3.3658e-01, 1.8284e-01, 8.7965e-02,
        4.7020e-01, 3.2467e+02, 4.8012e-02, 3.8059e-02, 5.3951e-01, 9.9058e-01,
        3.2467e+02, 4.8012e-02, 4.9931e-02, 3.5875e-02, 6.8917e-02, 4.9927e-02,
        1.4947e-02, 1.0155e-01, 4.8966e-02, 1.9410e-02, 1.3976e+00, 1.7419e-01,
        3.9700e-02, 9.5890e+00, 5.9467e-02, 9.4901e-02, 3.9157e-01, 1.2540e+04,
        2.3095e-01, 7.1845e-02, 1.7827e+00])
Saving model to: /mmfs1/gscratch/stf/upanpra/model_checkpointsAK/best-test-model-VisDroughtCNN-1700281538.5547411.pt
shape of mean, torch.Size([45])
shape of std, torch.Size([45])
DroughtCNN(
  (conv1): Conv2d(45, 32, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
  (bn1): BatchNorm2d(32, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (conv2): Conv2d(32, 64, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
  (bn2): BatchNorm2d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (conv3): Conv2d(64, 128, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
  (bn3): BatchNorm2d(128, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (fc1): Linear(in_features=512, out_features=120, bias=True)
  (fc2): Linear(in_features=120, out_features=84, bias=True)
  (fc3): Linear(in_features=84, out_features=4, bias=True)
)
28338025.64303082
Epoch [1/100], Step [100/178], Loss: 1.1036
Epoch [1/100], Train Acc 69.55%, Test Acc 68.19%
Epoch [2/100], Step [100/178], Loss: 0.7583
Epoch [2/100], Train Acc 67.25%, Test Acc 65.28%
Epoch [3/100], Step [100/178], Loss: 0.7069
Epoch [3/100], Train Acc 67.04%, Test Acc 66.94%
Epoch [4/100], Step [100/178], Loss: 1.0147
Epoch [4/100], Train Acc 72.79%, Test Acc 69.85%
Epoch [5/100], Step [100/178], Loss: 1.3566
Epoch [5/100], Train Acc 73.85%, Test Acc 68.60%
Epoch [6/100], Step [100/178], Loss: 0.5238
Epoch [6/100], Train Acc 72.48%, Test Acc 71.23%
Epoch [7/100], Step [100/178], Loss: 0.8982
Epoch [7/100], Train Acc 74.49%, Test Acc 68.74%
Epoch [8/100], Step [100/178], Loss: 0.3623
Epoch [8/100], Train Acc 75.69%, Test Acc 71.51%
Epoch [9/100], Step [100/178], Loss: 0.7589
Epoch [9/100], Train Acc 73.82%, Test Acc 70.54%
Epoch [10/100], Step [100/178], Loss: 0.7718
Epoch [10/100], Train Acc 72.41%, Test Acc 69.02%
Epoch [11/100], Step [100/178], Loss: 0.5554
Epoch [11/100], Train Acc 76.32%, Test Acc 71.92%
Epoch [12/100], Step [100/178], Loss: 0.6069
Epoch [12/100], Train Acc 76.82%, Test Acc 71.09%
Epoch [13/100], Step [100/178], Loss: 0.7271
Epoch [13/100], Train Acc 76.85%, Test Acc 72.20%
Epoch [14/100], Step [100/178], Loss: 0.4617
Epoch [14/100], Train Acc 75.79%, Test Acc 71.78%
Epoch [15/100], Step [100/178], Loss: 1.4191
Epoch [15/100], Train Acc 76.15%, Test Acc 68.88%
Epoch [16/100], Step [100/178], Loss: 0.5566
Epoch [16/100], Train Acc 75.26%, Test Acc 70.26%
Epoch [17/100], Step [100/178], Loss: 0.7576
Epoch [17/100], Train Acc 75.83%, Test Acc 69.16%
Epoch [18/100], Step [100/178], Loss: 0.5169
Epoch [18/100], Train Acc 77.42%, Test Acc 72.20%
Epoch [19/100], Step [100/178], Loss: 0.9349
Epoch [19/100], Train Acc 77.38%, Test Acc 73.44%
Epoch [20/100], Step [100/178], Loss: 0.3739
Epoch [20/100], Train Acc 77.45%, Test Acc 70.12%
Epoch [21/100], Step [100/178], Loss: 0.8538
Epoch [21/100], Train Acc 77.31%, Test Acc 73.44%
Epoch [22/100], Step [100/178], Loss: 0.5049
Epoch [22/100], Train Acc 76.11%, Test Acc 71.37%
Epoch [23/100], Step [100/178], Loss: 0.7660
Epoch [23/100], Train Acc 79.53%, Test Acc 73.44%
Epoch [24/100], Step [100/178], Loss: 0.5490
Epoch [24/100], Train Acc 76.46%, Test Acc 69.16%
Epoch [25/100], Step [100/178], Loss: 0.7205
Epoch [25/100], Train Acc 78.69%, Test Acc 72.89%
Epoch [26/100], Step [100/178], Loss: 0.3821
Epoch [26/100], Train Acc 76.61%, Test Acc 71.92%
Epoch [27/100], Step [100/178], Loss: 0.5079
Epoch [27/100], Train Acc 78.83%, Test Acc 71.23%
Epoch [28/100], Step [100/178], Loss: 0.5392
Epoch [28/100], Train Acc 79.25%, Test Acc 73.44%
Epoch [29/100], Step [100/178], Loss: 0.3787
Epoch [29/100], Train Acc 79.08%, Test Acc 70.40%
Epoch [30/100], Step [100/178], Loss: 0.3211
Epoch [30/100], Train Acc 80.06%, Test Acc 74.41%
Epoch [31/100], Step [100/178], Loss: 0.6825
Epoch [31/100], Train Acc 76.61%, Test Acc 75.38%
Epoch [32/100], Step [100/178], Loss: 0.3243
Epoch [32/100], Train Acc 78.93%, Test Acc 73.31%
Epoch [33/100], Step [100/178], Loss: 0.3854
Epoch [33/100], Train Acc 80.24%, Test Acc 72.61%
Epoch [34/100], Step [100/178], Loss: 0.5659
Epoch [34/100], Train Acc 80.45%, Test Acc 73.03%
Epoch [35/100], Step [100/178], Loss: 1.2827
Epoch [35/100], Train Acc 80.70%, Test Acc 74.00%
Epoch [36/100], Step [100/178], Loss: 0.4386
Epoch [36/100], Train Acc 79.89%, Test Acc 71.65%
Epoch [37/100], Step [100/178], Loss: 0.4665
Epoch [37/100], Train Acc 78.58%, Test Acc 72.20%
Epoch [38/100], Step [100/178], Loss: 0.2746
Epoch [38/100], Train Acc 79.04%, Test Acc 72.75%
Epoch [39/100], Step [100/178], Loss: 0.4069
Epoch [39/100], Train Acc 80.10%, Test Acc 74.41%
Epoch [40/100], Step [100/178], Loss: 0.5379
Epoch [40/100], Train Acc 81.19%, Test Acc 72.20%
Epoch [41/100], Step [100/178], Loss: 0.5491
Epoch [41/100], Train Acc 79.22%, Test Acc 70.26%
Epoch [42/100], Step [100/178], Loss: 0.3797
Epoch [42/100], Train Acc 80.10%, Test Acc 75.52%
Epoch [43/100], Step [100/178], Loss: 0.4981
Epoch [43/100], Train Acc 80.17%, Test Acc 72.89%
Epoch [44/100], Step [100/178], Loss: 0.5096
Epoch [44/100], Train Acc 78.97%, Test Acc 71.65%
Epoch [45/100], Step [100/178], Loss: 0.3800
Epoch [45/100], Train Acc 80.70%, Test Acc 71.23%
Epoch [46/100], Step [100/178], Loss: 0.4418
Epoch [46/100], Train Acc 81.79%, Test Acc 73.58%
Epoch [47/100], Step [100/178], Loss: 0.4225
Epoch [47/100], Train Acc 81.33%, Test Acc 70.54%
Epoch [48/100], Step [100/178], Loss: 0.6197
Epoch [48/100], Train Acc 79.78%, Test Acc 71.65%
Epoch [49/100], Step [100/178], Loss: 0.4048
Epoch [49/100], Train Acc 81.79%, Test Acc 74.00%
Epoch [50/100], Step [100/178], Loss: 0.6594
Epoch [50/100], Train Acc 84.02%, Test Acc 71.23%
Epoch [51/100], Step [100/178], Loss: 0.5915
Epoch [51/100], Train Acc 83.59%, Test Acc 71.65%
Epoch [52/100], Step [100/178], Loss: 0.3095
Epoch [52/100], Train Acc 84.09%, Test Acc 73.72%
Epoch [53/100], Step [100/178], Loss: 0.5958
Epoch [53/100], Train Acc 82.82%, Test Acc 72.20%
Epoch [54/100], Step [100/178], Loss: 0.6886
Epoch [54/100], Train Acc 84.16%, Test Acc 73.72%
Epoch [55/100], Step [100/178], Loss: 0.4531
Epoch [55/100], Train Acc 79.96%, Test Acc 69.29%
Epoch [56/100], Step [100/178], Loss: 0.3775
Epoch [56/100], Train Acc 84.16%, Test Acc 73.03%
Epoch [57/100], Step [100/178], Loss: 0.5088
Epoch [57/100], Train Acc 83.63%, Test Acc 70.82%
Epoch [58/100], Step [100/178], Loss: 0.5451
Epoch [58/100], Train Acc 85.50%, Test Acc 72.61%
Epoch [59/100], Step [100/178], Loss: 0.2991
Epoch [59/100], Train Acc 82.99%, Test Acc 74.83%
Epoch [60/100], Step [100/178], Loss: 0.4259
Epoch [60/100], Train Acc 84.26%, Test Acc 75.80%
Epoch [61/100], Step [100/178], Loss: 0.3172
Epoch [61/100], Train Acc 79.53%, Test Acc 68.19%
Epoch [62/100], Step [100/178], Loss: 0.6512
Epoch [62/100], Train Acc 81.86%, Test Acc 73.44%
