Running script with arguments: Namespace(input_channels=46, input_size=[16, 16], modality='hyper', num_classes=3, test_folder=['/mmfs1/gscratch/stf/upanpra/AK_paper_data/16crops/hardwood_vs_softwood/vis/test', '/mmfs1/gscratch/stf/upanpra/AK_paper_data/16crops/hardwood_vs_softwood/chm/test', '/mmfs1/gscratch/stf/upanpra/AK_paper_data/16crops/hardwood_vs_softwood/dtm/test'], train_folder=['/mmfs1/gscratch/stf/upanpra/AK_paper_data/16crops/hardwood_vs_softwood/vis/train', '/mmfs1/gscratch/stf/upanpra/AK_paper_data/16crops/hardwood_vs_softwood/chm/train', '/mmfs1/gscratch/stf/upanpra/AK_paper_data/16crops/hardwood_vs_softwood/dtm/train'])
tensor([ 1.2413e-03,  1.3992e+00,  1.5666e-01,  2.4665e-03,  3.7055e-03,
         2.8208e-01,  2.4620e-01,  1.1281e-02,  5.7995e+07,  3.3269e-01,
         1.0076e+00,  1.0347e+03,  1.0074e+03,  1.0008e+03,  4.0351e+00,
         2.8078e+00,  1.4801e+00,  6.4264e-01,  1.7263e+00,  1.6173e+03,
         7.6670e-01,  3.2386e-01,  2.9248e+00,  4.8894e+00,  1.6173e+03,
         7.6670e-01,  6.7660e-01, -2.4590e-02,  1.6352e-01,  6.7651e-01,
        -6.2282e-02,  1.1902e+00,  6.5222e-01,  4.6292e-02,  6.9664e+00,
         6.5256e-01,  3.7723e-01,  6.9674e+02,  8.9830e-01,  7.0955e-01,
         1.0268e+00,  6.1569e+04,  9.7964e-01,  1.4239e+00,  2.2436e+00,
         5.7266e+02])
tensor([4.2835e-04, 4.0767e-01, 6.8023e-02, 1.5014e-03, 1.7588e-03, 4.3323e-02,
        4.0901e-02, 2.5345e-03, 2.5077e+07, 2.5095e-01, 2.5432e-01, 2.0523e+02,
        1.9951e+02, 2.0219e+02, 5.4792e-01, 3.3658e-01, 1.8284e-01, 8.7965e-02,
        4.7020e-01, 3.2467e+02, 4.8012e-02, 3.8059e-02, 5.3951e-01, 9.9058e-01,
        3.2467e+02, 4.8012e-02, 4.9931e-02, 3.5875e-02, 6.8917e-02, 4.9927e-02,
        1.4947e-02, 1.0155e-01, 4.8966e-02, 1.9410e-02, 1.3976e+00, 1.7419e-01,
        3.9700e-02, 9.5890e+00, 5.9467e-02, 9.4901e-02, 3.9157e-01, 1.2540e+04,
        2.3095e-01, 7.1845e-02, 1.7827e+00, 1.8147e+00])
Saving model to: /mmfs1/gscratch/stf/upanpra/model_checkpointsAK/best-test-model-VisDroughtCNN-1700285131.0040333.pt
shape of mean, torch.Size([46])
shape of std, torch.Size([46])
DroughtCNN(
  (conv1): Conv2d(46, 32, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
  (bn1): BatchNorm2d(32, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (conv2): Conv2d(32, 64, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
  (bn2): BatchNorm2d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (conv3): Conv2d(64, 128, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
  (bn3): BatchNorm2d(128, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (fc1): Linear(in_features=512, out_features=120, bias=True)
  (fc2): Linear(in_features=120, out_features=84, bias=True)
  (fc3): Linear(in_features=84, out_features=4, bias=True)
)
28338085.517433647
Epoch [1/100], Step [100/178], Loss: 0.6879
Epoch [1/100], Train Acc 67.85%, Test Acc 70.54%
Epoch [2/100], Step [100/178], Loss: 0.9102
Epoch [2/100], Train Acc 69.94%, Test Acc 69.71%
Epoch [3/100], Step [100/178], Loss: 0.7350
Epoch [3/100], Train Acc 71.42%, Test Acc 71.23%
Epoch [4/100], Step [100/178], Loss: 0.5012
Epoch [4/100], Train Acc 69.76%, Test Acc 66.67%
Epoch [5/100], Step [100/178], Loss: 0.7526
Epoch [5/100], Train Acc 72.37%, Test Acc 73.03%
Epoch [6/100], Step [100/178], Loss: 0.8605
Epoch [6/100], Train Acc 71.28%, Test Acc 67.50%
Epoch [7/100], Step [100/178], Loss: 0.5628
Epoch [7/100], Train Acc 72.76%, Test Acc 73.03%
Epoch [8/100], Step [100/178], Loss: 0.5882
Epoch [8/100], Train Acc 72.69%, Test Acc 73.86%
Epoch [9/100], Step [100/178], Loss: 0.9184
Epoch [9/100], Train Acc 72.55%, Test Acc 70.95%
Epoch [10/100], Step [100/178], Loss: 0.6713
Epoch [10/100], Train Acc 68.91%, Test Acc 65.70%
Epoch [11/100], Step [100/178], Loss: 0.4985
Epoch [11/100], Train Acc 70.32%, Test Acc 64.87%
Epoch [12/100], Step [100/178], Loss: 0.9306
Epoch [12/100], Train Acc 72.72%, Test Acc 71.23%
Epoch [13/100], Step [100/178], Loss: 0.4073
Epoch [13/100], Train Acc 72.90%, Test Acc 68.19%
Epoch [14/100], Step [100/178], Loss: 0.3978
Epoch [14/100], Train Acc 68.95%, Test Acc 66.25%
Epoch [15/100], Step [100/178], Loss: 0.5670
Epoch [15/100], Train Acc 75.86%, Test Acc 71.65%
Epoch [16/100], Step [100/178], Loss: 0.2782
Epoch [16/100], Train Acc 74.95%, Test Acc 72.89%
Epoch [17/100], Step [100/178], Loss: 0.4625
Epoch [17/100], Train Acc 75.44%, Test Acc 71.09%
Epoch [18/100], Step [100/178], Loss: 0.5282
Epoch [18/100], Train Acc 76.61%, Test Acc 73.17%
Epoch [19/100], Step [100/178], Loss: 0.6611
Epoch [19/100], Train Acc 76.11%, Test Acc 72.20%
Epoch [20/100], Step [100/178], Loss: 0.4410
Epoch [20/100], Train Acc 77.42%, Test Acc 70.95%
Epoch [21/100], Step [100/178], Loss: 0.5637
Epoch [21/100], Train Acc 75.94%, Test Acc 71.78%
Epoch [22/100], Step [100/178], Loss: 0.4607
Epoch [22/100], Train Acc 76.75%, Test Acc 75.24%
Epoch [23/100], Step [100/178], Loss: 0.5475
Epoch [23/100], Train Acc 77.24%, Test Acc 71.51%
Epoch [24/100], Step [100/178], Loss: 0.7806
Epoch [24/100], Train Acc 78.93%, Test Acc 74.00%
Epoch [25/100], Step [100/178], Loss: 0.7846
Epoch [25/100], Train Acc 78.30%, Test Acc 69.99%
Epoch [26/100], Step [100/178], Loss: 0.5706
Epoch [26/100], Train Acc 78.12%, Test Acc 74.83%
Epoch [27/100], Step [100/178], Loss: 0.7994
Epoch [27/100], Train Acc 77.52%, Test Acc 73.58%
Epoch [28/100], Step [100/178], Loss: 0.4524
Epoch [28/100], Train Acc 75.72%, Test Acc 72.06%
Epoch [29/100], Step [100/178], Loss: 0.5116
Epoch [29/100], Train Acc 78.55%, Test Acc 71.37%
Epoch [30/100], Step [100/178], Loss: 0.5101
Epoch [30/100], Train Acc 76.39%, Test Acc 70.26%
Epoch [31/100], Step [100/178], Loss: 0.8767
Epoch [31/100], Train Acc 77.13%, Test Acc 71.51%
Epoch [32/100], Step [100/178], Loss: 0.4192
Epoch [32/100], Train Acc 80.77%, Test Acc 70.26%
Epoch [33/100], Step [100/178], Loss: 0.5559
Epoch [33/100], Train Acc 79.57%, Test Acc 72.20%
Epoch [34/100], Step [100/178], Loss: 0.8584
Epoch [34/100], Train Acc 80.42%, Test Acc 74.14%
Epoch [35/100], Step [100/178], Loss: 0.5185
Epoch [35/100], Train Acc 80.20%, Test Acc 70.26%
Epoch [36/100], Step [100/178], Loss: 0.5568
Epoch [36/100], Train Acc 80.35%, Test Acc 74.41%
Epoch [37/100], Step [100/178], Loss: 0.5576
Epoch [37/100], Train Acc 78.23%, Test Acc 73.31%
Epoch [38/100], Step [100/178], Loss: 0.4973
Epoch [38/100], Train Acc 81.55%, Test Acc 70.40%
Epoch [39/100], Step [100/178], Loss: 0.4420
Epoch [39/100], Train Acc 79.57%, Test Acc 72.34%
Epoch [40/100], Step [100/178], Loss: 0.4837
Epoch [40/100], Train Acc 80.24%, Test Acc 70.82%
Epoch [41/100], Step [100/178], Loss: 0.2787
Epoch [41/100], Train Acc 77.66%, Test Acc 69.99%
Epoch [42/100], Step [100/178], Loss: 0.3140
Epoch [42/100], Train Acc 82.78%, Test Acc 71.37%
Epoch [43/100], Step [100/178], Loss: 0.3278
Epoch [43/100], Train Acc 81.79%, Test Acc 71.65%
Epoch [44/100], Step [100/178], Loss: 0.3926
Epoch [44/100], Train Acc 79.82%, Test Acc 69.02%
Epoch [45/100], Step [100/178], Loss: 0.4920
Epoch [45/100], Train Acc 83.17%, Test Acc 72.34%
Epoch [46/100], Step [100/178], Loss: 0.7371
Epoch [46/100], Train Acc 79.08%, Test Acc 70.12%
Epoch [47/100], Step [100/178], Loss: 0.6117
Epoch [47/100], Train Acc 81.72%, Test Acc 74.55%
Epoch [48/100], Step [100/178], Loss: 0.4184
Epoch [48/100], Train Acc 82.89%, Test Acc 75.24%
Epoch [49/100], Step [100/178], Loss: 0.4203
Epoch [49/100], Train Acc 82.43%, Test Acc 70.68%
Epoch [50/100], Step [100/178], Loss: 0.4500
Epoch [50/100], Train Acc 83.91%, Test Acc 73.44%
Epoch [51/100], Step [100/178], Loss: 0.5185
Epoch [51/100], Train Acc 83.94%, Test Acc 74.55%
Epoch [52/100], Step [100/178], Loss: 0.5119
Epoch [52/100], Train Acc 81.23%, Test Acc 69.29%
Epoch [53/100], Step [100/178], Loss: 0.4862
Epoch [53/100], Train Acc 83.49%, Test Acc 72.61%
Epoch [54/100], Step [100/178], Loss: 0.4212
Epoch [54/100], Train Acc 83.27%, Test Acc 72.20%
Epoch [55/100], Step [100/178], Loss: 0.5528
Epoch [55/100], Train Acc 81.40%, Test Acc 68.88%
Epoch [56/100], Step [100/178], Loss: 0.3341
Epoch [56/100], Train Acc 80.49%, Test Acc 69.71%
Epoch [57/100], Step [100/178], Loss: 0.5000
Epoch [57/100], Train Acc 83.45%, Test Acc 71.37%
Epoch [58/100], Step [100/178], Loss: 0.1840
Epoch [58/100], Train Acc 84.54%, Test Acc 71.65%
